,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date
82,Britton Buchanan,Britton Buchanan,Where You Come From,Where You Come From - The Voice Performance,24.0,https://open.spotify.com/track/2a56PfxbXutG6CpZER3QWO,2018,6/2/18
274,Adam Wakefield,Adam Wakefield,When I Call Your Name,When I Call Your Name - The Voice Performance,24.0,https://open.spotify.com/track/2sqhEmib5F0dhpkffZReps,2016,6/11/16
168,The Weeknd & Kendrick Lamar,The Weeknd Kendrick Lamar,Pray For Me,Pray For Me (with Kendrick Lamar),24.0,https://open.spotify.com/track/77UjLW8j5UAGAGVGhR5oUK,2018,2/17/18
176,Chris Blue,Chris Blue,Money On You,Money On You - The Voice Performance,24.0,https://open.spotify.com/track/35ap6ekPdkGkiUkWfWhZB4,2017,6/10/17
224,Chloe Kohanski,Chloe Kohanski,Total Eclipse Of The Heart,Total Eclipse Of The Heart - The Voice Performance,24.0,https://open.spotify.com/track/1pFkLWesh2zpoFTs2g4SFt,2017,12/16/17
226,Jesse Larson,Jesse Larson,Human,Human - The Voice Performance,24.0,https://open.spotify.com/track/2IMgCMkJdgwuxCOWY1tzCx,2017,5/20/17
227,Brennley Brown,Brennley Brown,Anyway,Anyway - The Voice Performance,24.0,https://open.spotify.com/track/78rPF2GVzKtytqexqtj8aP,2017,5/27/17
228,Lauren Duski,Lauren Duski,Somewhere In My Broken Heart,Somewhere In My Broken Heart - The Voice Performance,24.0,https://open.spotify.com/track/4q0ex86oNAQ0QTl8JDl0Sw,2017,5/20/17
232,Hunter Plake,Hunter Plake,With Or Without You,With Or Without You - The Voice Performance,24.0,https://open.spotify.com/track/51tgWgqjxg3iEsycDfBQxR,2017,6/3/17
240,Jesse Larson,Jesse Larson,Woman,Woman - The Voice Performance,24.0,https://open.spotify.com/track/5GGbVpe4uNY0lNxfsItolT,2017,6/10/17
243,Brooke Simpson,Brooke Simpson,Amazing Grace,Amazing Grace - The Voice Performance,24.0,https://open.spotify.com/track/1JmgRioPxWg0S4Tn88wF4F,2017,12/23/17
244,Addison Agen,Addison Agen,Angel From Montgomery,Angel From Montgomery - The Voice Performance,24.0,https://open.spotify.com/track/3ITkw4qA070UWBLqhPoacq,2017,12/2/17
245,Jeffery Austin,Jeffery Austin,O Holy Night,O Holy Night - The Voice Performance,24.0,https://open.spotify.com/track/7hag3rmFiQcpKUt1LgRSNG,2016,1/2/16
247,Adam Wakefield,Adam Wakefield,I Got A Woman,I Got A Woman - The Voice Performance,24.0,https://open.spotify.com/track/0Oazhkq23WWnYVfwbbRo8z,2016,5/21/16
3280,Parliament,Parliament,Star Child (Mothership Connection),Mothership Connection (Star Child),24.0,https://open.spotify.com/track/7rLAPi81R7qlVqgXfykdEL,1976,9/18/76
252,Jordan Smith,Jordan Smith,Climb Every Mountain,Climb Every Mountain - The Voice Performance,24.0,https://open.spotify.com/track/6GtMaEfcLyzwfglzSlqzyX,2016,1/2/16
254,Mary Sarah,Mary Sarah,I Told You So,I Told You So - The Voice Performance,24.0,https://open.spotify.com/track/4OJv5nzZ4bBdMdXGYzzSJh,2016,6/4/16
256,Laith Al-Saadi,Laith Al-Saadi,Born Under A Bad Sign,Born Under A Bad Sign - The Voice Performance,24.0,https://open.spotify.com/track/5HYD5cMMUDzT3kUlssM6Q1,2016,5/7/16
259,Aaron Gibson,Aaron Gibson,Hurt,Hurt - The Voice Performance,24.0,https://open.spotify.com/track/3INZ476TB5H5740tFwHXk0,2016,12/10/16
261,Emily Ann Roberts,Emily Ann Roberts,Blue Christmas,Blue Christmas - The Voice Performance,24.0,https://open.spotify.com/track/5CAmpJxDB4S4hlePevwwvO,2016,1/2/16
262,Sundance Head,Sundance Head,Love Can Build A Bridge,Love Can Build A Bridge - The Voice Performance,24.0,https://open.spotify.com/track/6EzGPjRHqqOV8vUbZd3UC7,2016,12/24/16
4321,Charlie,Charlie Walker,He's A Jolly Good Fellow,He's A Jolly Good Fellow - Single Version,24.0,https://open.spotify.com/track/6a7ANnCbTZF0OrBr6gkDra,1965,12/4/65
826,Javier Colon,Javier Colon,Fix You,Fix You - The Voice Performance,24.0,https://open.spotify.com/track/36i9buM6LLNqaprbNZhUJ3,2011,7/9/11
