,Chart Artist Name,Spotify Artist Name,Chart Song Name,Spotify Song Name,Lev Dist,Predicted URL,Debut Year,Debut Date,Chart Appearances,Sp Artist Genres,Sp Album Genres,Sp Album Type,Sp Album Name
0,Sean Paul,Sean Paul,We Be Burnin',We Be Burnin',0.0,https://open.spotify.com/track/4kOTDj4SiZPkW1p96WMDNv,2005,9/17/05,"Hot100, Latin, RAB, Rap",dance pop || dancehall || pop || pop rap,,album,The Trinity
0,Lincoln Brewster,Lincoln Brewster,All To You (Live),All To You - Live,3.0,https://open.spotify.com/track/6hiHKD6MHdWjX9QxZP34cz,2005,9/17/05,Christian,anthem worship || ccm || christian alternative rock || christian music || world worship || worship,,album,All To You (Live)
0,Third Day,Third Day,Cry Out To Jesus,Cry Out To Jesus,0.0,https://open.spotify.com/track/0HgDYi8pYbkYYvatcNsrQZ,2005,9/17/05,Christian,ccm || christian alternative rock || christian music || worship,,album,Wherever You Are
0,YoungBloodZ,Youngbloodz,Presidential,Presidential,0.0,https://open.spotify.com/track/281kNQmgirthnKNA5LHQSs,2005,9/17/05,"Hot100, RAB, Rap",atl hip hop || crunk || dirty south rap || gangster rap || pop rap || rap || southern hip hop,,album,Ev'rybody Know Me
0,Blake Shelton,Blake Shelton,Nobody But Me,Nobody but Me,0.0,https://open.spotify.com/track/5zni15XyrdqAGExRcMSJi2,2005,9/17/05,"Country, Hot100",contemporary country || country || country road || oklahoma country,,album,Blake Shelton's Barn & Grill
0,Faith Hill,Faith Hill,Like We Never Loved At All,Like We Never Loved at All,0.0,https://open.spotify.com/track/5tdbsJQ86BVvjmpTikVP7q,2005,9/17/05,"Country, Hot100",contemporary country || country || country dawn || country road || pop rock,,album,Fireflies (U.S. Release)
0,Rascal Flatts,Rascal Flatts,Skin (Sarabeth),Skin (Sarabeth),0.0,https://open.spotify.com/track/0NB8Y8TXV0UTUoq9XHuOIr,2005,9/24/05,"Country, Hot100",contemporary country || country || country road,,album,Feels Like Today
0,Ashlee Simpson,Ashlee Simpson,Boyfriend,Boyfriend,0.0,https://open.spotify.com/track/1f0XxoeFQWM4mR4NxHu6DE,2005,9/24/05,Hot100,dance pop || post-teen pop,,album,I Am Me
0,Toby Keith,Toby Keith,Big Blue Note,Big Blue Note,0.0,https://open.spotify.com/track/5g6vcZhxbwouWEBA3c7AgC,2005,9/24/05,"Country, Hot100",contemporary country || country || country road || oklahoma country,,album,Toby Keith 35 Biggest Hits
0,Jill Scott,Jill Scott,Cross My Mind,Cross My Mind,0.0,https://open.spotify.com/track/58wz6SXvLA7JjKtX5Ydq06,2005,9/24/05,RAB,funk || hip hop || hip pop || neo soul || quiet storm || r&b || soul || urban contemporary,,album,Beautifully Human: Words and Sounds Vol. 2
0,Dierks Bentley,Dierks Bentley,Come A Little Closer,Come A Little Closer,0.0,https://open.spotify.com/track/4HE1X1MtjHCjxicUHYQmyW,2005,9/24/05,"Country, Hot100",contemporary country || country || country road || modern country rock,,compilation,Greatest Hits / Every Mile A Memory 2003 - 2008
0,Keyshia Cole,Keyshia Cole,I Should Have Cheated,I Should Have Cheated,0.0,https://open.spotify.com/track/5tFDgH6do20IXdSoNBAmXK,2005,9/24/05,"Hot100, RAB",dance pop || deep pop r&b || hip pop || neo soul || pop || pop rap || r&b || rap || urban contemporary,,album,The Way It Is
0,Lonestar,Lonestar,You're Like Comin' Home,You're Like Comin' Home,0.0,https://open.spotify.com/track/401olpZBrdF03wa5lJfgdy,2005,9/24/05,"Country, Hot100",contemporary country || country || country road,,album,Coming Home
0,Sugarland,Sugarland,Stand Back Up,Stand Back Up,0.0,https://open.spotify.com/track/5i0RO20Gckw8I46lsAplhp,2005,9/24/05,Country,contemporary country || country || country dawn || country road,,album,Twice The Speed Of Life
0,D4L,D4L,Laffy Taffy,Laffy Taffy,0.0,https://open.spotify.com/track/2ajhenDRiiAnCHHjsIOHhJ,2005,9/24/05,"Hot100, RAB, Rap",atl hip hop || crunk || dirty south rap || gangster rap || pop rap || southern hip hop || trap,,album,Down For Life
0,R. Kelly,R. Kelly,Slow Wind,Slow Wind,0.0,https://open.spotify.com/track/6bzfP9oPj6rCjD2TR9oCSH,2005,9/24/05,RAB,,,album,Tp.3 Reloaded
0,Juanes,Juanes,Para Tu Amor,Para Tu Amor,0.0,https://open.spotify.com/track/2quTytCTP9kKLvpveyO1mt,2005,10/1/05,Latin,colombian pop || cumbia || latin || latin pop || mexican pop || pop || rock en espanol || tropical,,album,Mi Sangre
